model_name,params,mae,rmse,mape,r2
ridge_regression,{'model__alpha': 0.1},0.4019198875983538,0.4518301706935177,0.44310001887085937,0.9989768685471123
ridge_regression,{'model__alpha': 1.0},0.5627826384587279,0.6175593594205129,0.6215531369555558,0.9980240816743643
gradient_boosting,"{'learning_rate': 0.08, 'max_depth': 3, 'n_estimators': 120}",0.7918247191425829,1.0864891077297918,0.8388901853112216,0.993630890798671
gradient_boosting,"{'learning_rate': 0.08, 'max_depth': 2, 'n_estimators': 120}",0.7974381344917855,1.108636838873614,0.8354694215572552,0.993484001317224
gradient_boosting,"{'learning_rate': 0.08, 'max_depth': 3, 'n_estimators': 50}",0.8428825634053259,1.1757793803383607,0.8682834242755586,0.9922978919314857
gradient_boosting,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 120}",0.9288578492870797,1.2855139784510987,0.9528068402738357,0.9906891422636126
random_forest,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 120}",0.9438786008230443,1.332906749609467,0.9666779969401816,0.9897773050621114
random_forest,"{'max_depth': 12, 'min_samples_leaf': 1, 'n_estimators': 120}",0.9414351851851849,1.3331750201382666,0.9638203391153225,0.9897815582885262
random_forest,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",0.95479938271605,1.3367520583650052,0.9788282693229632,0.9898413397566177
random_forest,"{'max_depth': 12, 'min_samples_leaf': 1, 'n_estimators': 50}",0.9516666666666675,1.3369253001767214,0.9750783244470457,0.9898468663332017
ridge_regression,{'model__alpha': 10.0},1.2915529070561507,1.4177412857056273,1.4346229123234837,0.990271520977818
gradient_boosting,"{'learning_rate': 0.08, 'max_depth': 2, 'n_estimators': 50}",1.0298524860963103,1.4484813726558343,1.0422761325406806,0.9880401290138465
random_forest,"{'max_depth': 8, 'min_samples_leaf': 2, 'n_estimators': 120}",1.031838023088026,1.5065803776240976,1.0466227419134404,0.9860393812341247
random_forest,"{'max_depth': 12, 'min_samples_leaf': 2, 'n_estimators': 120}",1.031838023088026,1.5065803776240976,1.0466227419134404,0.9860393812341247
random_forest,"{'max_depth': 8, 'min_samples_leaf': 2, 'n_estimators': 50}",1.0656178250761605,1.5271280775802,1.0868971310743591,0.985960044097918
random_forest,"{'max_depth': 12, 'min_samples_leaf': 2, 'n_estimators': 50}",1.0656178250761605,1.5271280775802,1.0868971310743591,0.985960044097918
gradient_boosting,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 120}",1.177520679505517,1.708400287285435,1.1775213950387688,0.983197381460645
gradient_boosting,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 50}",3.594836770637004,4.779787437837313,3.633505953103937,0.8883976326325357
gradient_boosting,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 50}",4.023426594228996,5.64365092181772,4.010430519316758,0.8417489450218075
seasonal_naive_baseline,{},15.0,18.458980254693824,15.32400033619336,-0.6215767508161566
